	QDORC	LDORC	GDORC
0.02	0.7322415667443778	0.7190361585474079	0.8388687035130648
0.04	0.8561013610704062	0.8421500627700429	0.8539234147118693
0.06	0.8374590486750476	0.8422032361555043	0.8634302651511547
0.08	0.8574203163454985	0.8380150575283473	0.8649778057623776
0.1	0.8679592859566995	0.8754560820190094	0.8664762385754766
0.12	0.8812626742451668	0.875205612620735	0.8683154087944376
0.14	0.8926651260188752	0.8892167999390077	0.8712929952587004
0.16	0.8604122063447808	0.8855662908008368	0.869352512537005
0.18	0.8743845107652369	0.8653582271773003	0.8698261898257952
