	QDORC	LDORC	GDORC
0.02	130096.96189052236	156512.80413970066	33109.01577534033
0.04	240128.9285582627	262692.7969309917	34146.79876842479
0.06	336213.3018571438	360617.9343015455	40698.11550894122
0.08	398711.2775478014	433035.58148396295	45243.50949416018
0.1	471660.45109494525	497759.5554401457	49020.5968891814
0.12	478259.2376313353	536081.9204901423	54023.55649266364
0.14	491695.5739527411	535357.140378202	51910.71867324433
0.16	457002.00218564656	527213.6608663339	58325.76997601786
0.18	465489.5088026238	471385.87305517297	61872.47098382407
