	QDORC	LDORC	GDORC
25	0.8634319620357376	0.8502175921983849	0.8747582332576519
50	0.8516411007900659	0.8564705352555004	0.8724553209037959
100	0.8884296081906076	0.8943470533129985	0.8737190824584813
300	0.8657110109729867	0.8632067300383403	0.8667271354566743
500	0.8374590486750476	0.8422032361555043	0.8634302651511547
700	0.8593350092843084	0.8759076158303026	0.858115823306707
1000	0.8430563836374743	0.855510442827546	0.8484414961919541
1200	0.862675769778028	0.8532205569872211	0.8466724897422194
