	QDORC	LDORC	GDORC
50000	84176.53454431992	66632.77802894199	29293.906800939352
100000	455972.1230863193	472322.8801552805	48989.18724213839
150000	144789.0768769479	180671.1025530192	27511.12773935342
200000	746778.3068837416	725386.7524826794	48970.95553362078
250000	971426.7077643072	1058438.6530322128	60572.35557212876
300000	1665783.042057225	1785524.4334031628	72515.76292684168
350000	1505924.2164208149	1576591.4635984716	85527.29728975575
400000	1109768.6895913717	1332267.0444868188	75170.68292437788
