	QDORC	LDORC	GDORC
0.02	340580.5554500994	313781.6677238774	32353.93162211685
0.04	188998.59503164983	320985.3169687771	43711.777729766654
0.06	471660.45109494525	497759.5554401457	49020.5968891814
0.08	307248.54610570875	555772.2080395913	47915.54330099337
0.1	222114.0241174716	196619.0209178178	39652.63252439116
0.12	268287.39116977813	206847.80609402864	23829.98414020214
0.14	109772.1286544138	287006.8915523344	24726.44608444695
0.16	536961.7329568643	260110.66335266983	33567.50068837682
0.18	197052.1945411883	524257.51682673936	48896.24884138584
