	QDORC	LDORC	GDORC
50000	0.8876927670820776	0.8689422307902139	0.7983864010230697
100000	0.8422043438004204	0.8493259415613548	0.862897888864906
150000	0.7322931609283704	0.7158109076193649	0.7569910586115024
200000	0.7939854889886439	0.7994023579490761	0.8368009317664029
250000	0.8203521815102235	0.8181865156134519	0.8507658207131715
300000	0.8077020835103885	0.8055093547876149	0.8645215988357473
350000	0.8357039339759347	0.8329919376950766	0.876368686816076
400000	0.8481076372210318	0.8302848213361875	0.880061486655161
