	QDORC	LDORC	GDORC
0.02	0.784814	0.794345	0.901472
0.04	0.910584	0.899779	0.901955
0.06	0.910208	0.91515	0.917345
0.08	0.923846	0.912013	0.924791
0.1	0.920671	0.922859	0.927161
0.12	0.924746	0.927589	0.9277529999999998
0.14	0.931534	0.932062	0.930001
0.16	0.918621	0.925156	0.929756
0.18	0.935479	0.9210009999999998	0.9311
