	QDORC	LDORC	GDORC
25	129979.45775633647	292489.3007354447	19023.379558648856
50	352497.9391987218	322824.3493527269	20454.367373565085
100	173823.703213687	144867.93512492062	23605.893151560504
300	340772.1712268329	340360.5721534902	32400.894140951117
500	471660.45109494525	497759.5554401457	49020.5968891814
700	279144.6905178988	316692.267599251	59650.96351119752
1000	347787.191328809	276043.98054447694	79063.1931840276
1200	316213.6262377022	158684.77454287844	73425.05140192171
